Quadrilateral Vertex: [ x y z ] , Closest Triangle Face Vertices: [ x y z ]
[ -8.25841 -20.5774  791.015  ] , [ -9.84983 -20.838699 790.35199 ] [ -8.10481 -20.6089 791.104004 ] [ -9.07926 -19.0625 791.116028 ]
[ 11.3249 -22.1844 790.835 ] , [ 10.9542 -21.16 792.151978 ] [ 11.5917 -22.6766 791.353027 ] [ 10.7327 -22.8545 790.879028 ]
[ -7.03236 -12.226   789.955  ] , [ -9.35952 -13.3173 788.968994 ] [ -6.88669 -14.0475 790.78302 ] [ -6.33615 -11.7756 789.97699 ]
[ -6.8561 -15.6928 791.882 ] , [ -8.40945 -16.4541 790.953003 ] [ -6.58528 -16.217199 791.900024 ] [ -6.88669 -14.0475 790.78302 ]
[  5.40455  -7.88038 789.965  ] , [ 5.73649 -6.76937 788.692993 ] [ 4.6407 -7.71607 790.171021 ] [ 5.58266 -7.99449 789.895996 ]
[  2.19814  -7.10785 790.465  ] , [ 3.21175 -8.08703 791.112 ] [ 2.15587 -6.23893 789.51001 ] [ 1.88622 -8.06049 791.155029 ]
[  1.70319  -9.79788 793.288  ] , [ 1.00027 -10.8273 794.473022 ] [ 2.44494 -9.74214 793.085022 ] [ 0.634973 -9.50814 792.585999 ]
[ -8.27698 -29.5257  790.922  ] , [ -7.5886 -29.424299 791.080994 ] [ -8.21286 -29.7295 790.677979 ] [ -8.8447 -29.8391 791.549988 ]
[ 16.9218 -23.2473 790.493 ] , [ 16.2609 -23.0947 791.551025 ] [ 17.4582 -23.655001 790.359985 ] [ 16.2122 -23.2071 790.421997 ]
[ 12.6112 -18.1738 789.635 ] , [ 12.873 -17.9762 789.276001 ] [ 11.7057 -17.016399 789.922974 ] [ 12.4199 -20.0851 788.942993 ]
[ -0.950164  -7.18233  790.085   ] , [ -1.68309 -6.99279 789.684998 ] [ -0.815431 -7.97528 790.630981 ] [ -0.910676 -6.15491 789.286987 ]
[  2.75982 -41.5206  789.161  ] , [ 2.99144 -41.841202 788.669006 ] [ 2.73158 -39.9039 791.64502 ] [ 1.92207 -40.928799 790.088013 ]
[ -5.92888 -41.7244  788.951  ] , [ -3.7156 -41.591 789.117004 ] [ -6.76109 -40.454201 790.921997 ] [ -6.18274 -42.0555 788.426025 ]
[-19.3286 -41.1221 789.171 ] , [ -19.340099 -41.786499 788.866028 ] [ -18.671801 -41.2817 789.690979 ] [ -19.966101 -41.0868 788.783997 ]
[-16.8314 -43.3691 786.807 ] , [ -15.7596 -42.678001 787.817993 ] [ -18.1042 -42.7598 787.724976 ] [ -16.3195 -43.958401 785.960999 ]
[ -4.60496 -29.4545  791.129  ] , [ -4.47412 -28.771299 791.504028 ] [ -4.00107 -28.5602 789.232971 ] [ -5.97091 -28.9361 790.416016 ]
[ 27.9871 -26.0699 788.408 ] , [ 29.113501 -25.997601 787.812988 ] [ 26.9704 -25.0758 787.807007 ] [ 28.6231 -25.538 789.03302 ]
[ 28.1642 -28.4775 791.484 ] , [ 28.1619 -27.907101 791.549011 ] [ 27.8193 -29.1583 791.575989 ] [ 29.1796 -28.837099 790.872009 ]
[ -9.35796 -25.1836  789.129  ] , [ -9.6502 -25.3799 788.872986 ] [ -7.64107 -26.217699 788.909973 ] [ -10.3435 -24.327299 788.88501 ]
[-12.5413 -18.2024 788.878 ] , [ -12.4897 -17.763 789.169006 ] [ -14.5926 -19.208599 788.218018 ] [ -12.4661 -18.690201 789.385986 ]
[-11.2895 -21.8047 789.761 ] , [ -12.7264 -21.411301 789.208008 ] [ -10.5508 -22.0481 789.661987 ] [ -10.8848 -20.888 789.901978 ]
[ 11.5502 -41.5616 789.679 ] , [ 10.5593 -42.1744 788.742981 ] [ 13.2207 -41.3162 790.073975 ] [ 10.749 -40.7575 790.870972 ]
[  8.25832 -42.9542  788.305  ] , [ 8.87181 -43.202801 787.333984 ] [ 8.52189 -42.8484 788.658997 ] [ 7.51752 -42.588699 787.997009 ]
[-10.034  -13.3581 788.64  ] , [ -10.7655 -14.2501 788.796021 ] [ -9.35952 -13.3173 788.968994 ] [ -10.1949 -12.5833 788.070984 ]
[ -9.68347 -16.8981  790.596  ] , [ -8.40945 -16.4541 790.953003 ] [ -11.0553 -17.117599 789.929016 ] [ -9.90425 -18.0474 790.601013 ]
[ 14.1613 -14.4983 788.948 ] , [ 14.4084 -14.997 788.927979 ] [ 14.103 -13.8134 788.833008 ] [ 13.2795 -13.5592 789.137024 ]
[ 10.9574 -13.6026 790.41  ] , [ 10.6419 -12.9339 789.984985 ] [ 10.5975 -14.0488 790.909973 ] [ 11.1574 -14.3345 790.221008 ]
[  8.49094  -9.08318 789.045  ] , [ 9.49276 -9.47939 788.416992 ] [ 7.83318 -8.62174 789.018982 ] [ 9.25322 -10.0163 789.044983 ]
[ -3.96054  -7.8088  789.121  ] , [ -3.37898 -6.79846 788.786011 ] [ -5.02124 -9.0428 789.208008 ] [ -2.92457 -7.57189 789.471985 ]
[ 16.927  -42.2062 788.376 ] , [ 16.7041 -42.910599 787.255981 ] [ 17.1992 -41.841301 788.968994 ] [ 15.7303 -42.502102 788.169006 ]
[-20.6269 -43.1482 786.612 ] , [ -20.3941 -42.764599 787.487976 ] [ -21.2798 -43.1213 786.596008 ] [ -20.9855 -43.742699 786.150024 ]
