Quadrilateral Vertex: [ x y z ] , Closest Triangle Face Vertices: [ x y z ]
[ 33.624   70.3019 755.736 ] , [ 34.5285 70.375298 755.776001 ] [ 32.748299 69.954201 755.607971 ] [ 32.400902 69.684402 756.486023 ]
[-34.412   70.4926 757.704 ] , [ -35.353802 70.824898 756.758972 ] [ -34.490101 69.834099 758.677979 ] [ -33.407902 69.923401 757.038025 ]
[ 34.0186 -57.0607 755.449 ] , [ 33.648102 -57.051998 755.065002 ] [ 34.203701 -57.000198 755.429016 ] [ 33.084999 -57.446999 755.934998 ]
[ 30.2409 -29.0342 756.64  ] , [ 31.638599 -29.601 756.692017 ] [ 29.032 -28.9447 757.166992 ] [ 29.9286 -28.710699 756.625977 ]
[-33.3735 -17.0455 756.859 ] , [ -33.0173 -15.8757 757.749023 ] [ -33.188499 -17.094101 756.229004 ] [ -33.695599 -17.130699 757.898987 ]
[ 26.4546 -12.5242 755.675 ] , [ 26.355499 -13.5824 754.844971 ] [ 26.3326 -12.1532 755.906982 ] [ 26.512501 -12.8073 754.973999 ]
[ 23.8899  11.8325 755.564 ] , [ 23.9298 11.9771 753.349976 ] [ 23.659201 12.0065 756.04303 ] [ 24.3883 10.4878 755.817993 ]
[ 13.5307  25.4502 758.404 ] , [ 13.8933 26.7341 758.416992 ] [ 13.4341 24.9538 758.797974 ] [ 12.8777 24.7967 757.010986 ]
[  2.19606  25.9071  759.036  ] , [ 1.74421 26.523399 757.849976 ] [ 2.67763 24.922199 758.77301 ] [ 2.19388 26.297899 759.145996 ]
[ 20.8299  42.7042 758.04  ] , [ 20.2512 42.0382 757.182007 ] [ 20.652901 42.592701 757.02002 ] [ 21.565201 42.5294 758.91803 ]
[-18.6461  46.5942 754.052 ] , [ -18.075001 46.5326 753.445007 ] [ -17.9984 45.319 754.551025 ] [ -18.564899 46.802299 754.502014 ]
[ 23.7513  49.9061 758.424 ] , [ 24.797001 50.840401 758.208984 ] [ 24.2328 49.680698 758.104004 ] [ 23.8137 49.851299 757.593994 ]
[ 21.7131  46.3049 758.524 ] , [ 21.3708 45.743801 758.572021 ] [ 21.8822 47.737999 757.809998 ] [ 21.903099 45.758499 759.034973 ]
[-13.0076  52.6191 757.275 ] , [ -12.4191 52.168999 757.210022 ] [ -12.925 52.881302 756.335999 ] [ -13.9206 53.417599 757.757019 ]
[-10.4886  50.3337 755.054 ] , [ -10.4944 50.515301 755.593018 ] [ -9.45458 49.158501 753.65802 ] [ -10.6811 50.7607 754.36499 ]
[ 32.0289  60.5866 757.948 ] , [ 32.347 60.3713 757.765015 ] [ 31.674101 59.656799 758.708984 ] [ 31.3057 60.459999 757.83197 ]
[ 29.8045  69.2994 755.041 ] , [ 30.066999 69.2901 753.963013 ] [ 29.5119 68.932297 755.258972 ] [ 30.6975 69.418098 754.828979 ]
[ -4.15734 -63.7006  756.283  ] , [ -2.93522 -63.577599 756.492981 ] [ -4.24276 -63.7495 756.296997 ] [ -3.26548 -64.8554 754.676025 ]
[  8.10839 -62.5654  757.267  ] , [ 9.74438 -62.674999 757.150024 ] [ 5.91164 -62.017899 758.065002 ] [ 8.54179 -64.0168 755.153992 ]
[ 11.8055 -61.6086 758.768 ] , [ 13.0157 -62.8899 756.903015 ] [ 12.4447 -61.0798 759.598022 ] [ 9.74438 -62.674999 757.150024 ]
[  6.47373 -60.4135  760.434  ] , [ 5.91164 -62.017899 758.065002 ] [ 6.88459 -59.693501 761.528015 ] [ 3.31248 -60.2047 760.817017 ]
[  4.49718 -63.751   756.064  ] , [ 5.70745 -64.091301 755.187012 ] [ 4.09364 -63.2304 757.140991 ] [ 4.47203 -64.1129 755.773987 ]
[-18.1366 -39.3426 755.253 ] , [ -18.514601 -39.743401 754.531006 ] [ -18.6723 -39.732399 755.348022 ] [ -18.535101 -38.344398 754.825989 ]
[-33.6122 -21.0311 755.805 ] , [ -33.595001 -19.3762 755.263 ] [ -33.688 -21.957399 755.643005 ] [ -34.056099 -19.5989 756.468018 ]
[-33.2645 -23.7531 761.933 ] , [ -32.608398 -26.0905 761.924988 ] [ -33.078899 -23.2631 763.614014 ] [ -33.250801 -23.820299 761.570007 ]
[-24.1977    3.55131 755.331  ] , [ -23.7794 3.62971 754.476013 ] [ -23.9687 3.60659 755.44397 ] [ -24.4401 4.49193 756.43103 ]
[ 21.1278  13.8715 756.182 ] , [ 21.417299 13.5391 757.765991 ] [ 21.665001 13.9733 755.455017 ] [ 19.840599 14.7398 755.453003 ]
[ -2.04077  31.0772  758.856  ] , [ -2.63743 30.766399 760.330994 ] [ -2.14704 30.6656 758.458008 ] [ -2.59549 32.035702 759.335999 ]
[ -2.87325  34.5599  756.604  ] , [ -3.14344 34.694901 758.317993 ] [ -2.40737 33.721699 756.218994 ] [ -2.95346 34.874802 756.323975 ]
[ -4.72357  36.663   758.895  ] , [ -4.11194 35.588699 760.521973 ] [ -4.06072 36.389301 758.705017 ] [ -5.07844 37.9809 759.189026 ]
[-15.8141  39.9203 754.598 ] , [ -15.3845 39.923 753.202026 ] [ -16.5317 40.2738 757.203003 ] [ -15.7139 40.631699 754.197998 ]
[ 26.0617  53.1018 758.237 ] , [ 26.9874 53.286701 759.54303 ] [ 25.488001 53.0051 758.164978 ] [ 27.132 53.777599 757.911987 ]
[ 24.8248  53.598  754.828 ] , [ 24.4144 53.466099 754.465027 ] [ 25.3314 54.247002 755.336975 ] [ 26.2806 53.962502 756.625977 ]
[ 14.2507  54.7744 757.73  ] , [ 14.5756 54.923302 757.981995 ] [ 13.3144 54.5242 756.736023 ] [ 13.058 53.497002 758.29303 ]
[ 11.2785  53.2518 755.738 ] , [ 12.0782 53.9627 755.901001 ] [ 10.5265 52.769199 755.249023 ] [ 11.3868 52.9631 756.450989 ]
[-27.2755  57.8362 753.713 ] , [ -28.878901 58.283798 753.528992 ] [ -27.5383 57.3167 752.909973 ] [ -27.983 56.423401 753.752014 ]
[-31.7295  61.5703 754.02  ] , [ -32.374401 60.325401 754.559998 ] [ -32.4188 61.716301 754.073975 ] [ -30.5846 60.1535 751.997986 ]
[-39.2146  65.4994 758.376 ] , [ -39.417801 66.131203 758.434998 ] [ -39.417999 66.317299 756.791992 ] [ -38.6469 65.257401 758.38501 ]
[ 38.9593 -55.6542 755.471 ] , [ 39.269001 -54.680099 754.255981 ] [ 39.060001 -56.071899 755.796997 ] [ 38.724499 -56.053699 755.064026 ]
[-24.309  -51.1971 754.456 ] , [ -22.9133 -50.845402 754.086975 ] [ -24.0462 -51.910301 754.380005 ] [ -24.4617 -51.156799 755.034973 ]
[-24.4014 -54.6675 754.184 ] , [ -25.4098 -54.766201 753.778015 ] [ -24.0411 -53.1954 753.755981 ] [ -24.4128 -54.816601 753.039001 ]
[ 34.3077 -48.5002 753.422 ] , [ 33.783901 -49.332298 753.763 ] [ 34.764999 -48.872002 753.38501 ] [ 33.1124 -49.417 753.096008 ]
[-22.522  -47.1721 754.947 ] , [ -23.161699 -47.909401 755.637024 ] [ -23.066401 -46.6049 756.328003 ] [ -23.923 -47.4631 754.29303 ]
[ 31.6528 -43.9293 755.882 ] , [ 32.265701 -45.162498 756.304993 ] [ 32.419899 -44.689098 755.382996 ] [ 33.156399 -43.071899 755.577026 ]
[ 24.8675 -11.3853 757.205 ] , [ 24.271601 -11.8904 756.291016 ] [ 24.3055 -11.1033 757.221985 ] [ 24.866199 -10.8162 757.752014 ]
[-14.1626  13.7021 755.054 ] , [ -15.3558 13.6383 755.961975 ] [ -13.3208 13.5537 754.843994 ] [ -14.402 13.9225 754.411987 ]
[-14.1992  55.0291 753.902 ] , [ -14.1829 55.801498 751.562012 ] [ -14.6241 55.1007 754.383972 ] [ -13.9335 54.764301 753.560974 ]
[-15.8572  54.5134 759.46  ] , [ -15.3415 53.159199 761.367981 ] [ -14.9496 53.882401 759.085022 ] [ -16.351101 55.0928 759.624023 ]
[-17.1184  56.9826 756.136 ] , [ -15.8639 55.6749 755.578979 ] [ -17.9205 57.6087 755.942017 ] [ -18.0411 57.270599 757.330017 ]
[ 21.6271  63.5749 755.675 ] , [ 21.2069 64.131302 754.354004 ] [ 20.6805 62.641201 755.653015 ] [ 21.233299 62.032299 757.281006 ]
[-36.2118  64.9687 754.56  ] , [ -36.972698 63.712002 754.255981 ] [ -37.2747 64.771202 753.802979 ] [ -36.307098 63.674599 753.666016 ]
[ 31.4928 -60.3142 755.738 ] , [ 31.434 -60.110901 755.494995 ] [ 31.6548 -60.873299 757.43103 ] [ 30.210899 -61.445202 755.116028 ]
[ 39.2785 -51.0578 755.278 ] , [ 39.620201 -50.652699 755.184021 ] [ 38.963799 -50.458302 754.117004 ] [ 38.528198 -49.891201 754.049011 ]
[-10.8959 -32.7893 756.867 ] , [ -8.23891 -35.593601 758.161011 ] [ -8.60142 -31.676701 758.64801 ] [ -9.43302 -30.452499 758.64801 ]
[-12.6863 -32.7064 754.918 ] , [ -8.23891 -35.593601 758.161011 ] [ -9.27678 -28.429501 761.114014 ] [ -13.1796 -32.635502 754.208008 ]
[ 20.6716 -22.7    754.9   ] , [ 21.0364 -22.970501 755.284973 ] [ 20.2649 -23.8687 754.343994 ] [ 20.9007 -22.7141 754.742981 ]
[ 24.6853 -14.3315 755.416 ] , [ 24.957899 -13.5178 755.156006 ] [ 24.6978 -15.4518 754.40802 ] [ 23.9133 -14.5235 755.023987 ]
[-28.9819 -12.8803 755.299 ] , [ -28.044901 -13.8019 754.356995 ] [ -29.470699 -13.9402 754.64502 ] [ -28.732 -12.8443 755.783997 ]
[-22.7062 -13.0979 754.046 ] , [ -22.110201 -13.8265 754.052979 ] [ -22.7395 -12.3575 754.346985 ] [ -23.237301 -12.3337 753.703979 ]
[-21.182  -14.7942 755.378 ] , [ -21.500401 -15.1543 754.812988 ] [ -21.555901 -14.2348 754.700012 ] [ -21.226801 -15.6017 753.737 ]
[-12.0164  16.7999 757.551 ] , [ -12.3425 17.6495 756.814026 ] [ -12.7771 15.5984 758.250977 ] [ -12.339 16.7432 758.952026 ]
[-13.6098  26.9717 755.555 ] , [ -13.1222 26.8013 755.138 ] [ -13.0903 28.0662 755.151978 ] [ -14.8237 26.8022 754.471008 ]
[  2.78159  29.6098  756.847  ] , [ 3.02537 29.5135 758.109009 ] [ 2.19186 29.8228 756.794006 ] [ 2.36368 28.792299 757.437012 ]
[-14.8093  33.3165 755.046 ] , [ -14.3659 34.187599 756.414001 ] [ -14.3758 34.239799 755.088989 ] [ -13.8844 33.633999 754.86499 ]
[ -5.48502  42.8301  753.558  ] , [ -5.81097 41.820801 754.614014 ] [ -5.37308 41.822601 753.297974 ] [ -5.59903 43.4081 753.580994 ]
[-22.6321  52.4961 754.036 ] , [ -21.6408 51.560398 754.192993 ] [ -23.121099 53.091 754.302002 ] [ -22.422501 52.414398 753.677002 ]
[ 18.0697  58.8462 756.638 ] , [ 19.4531 61.4011 755.765015 ] [ 17.002001 58.064602 756.585999 ] [ 18.655199 59.062599 757.497986 ]
[-22.7895 -42.6983 754.586 ] , [ -22.116699 -42.577999 753.21698 ] [ -23.511 -43.462799 753.684998 ] [ -23.3937 -42.333302 753.669983 ]
[ 28.8784 -25.6808 754.472 ] , [ 29.051201 -25.5917 753.35199 ] [ 29.0462 -26.9366 754.187988 ] [ 27.765499 -26.429501 754.20697 ]
[ 23.9173 -19.0219 753.892 ] , [ 24.5907 -18.1497 753.825989 ] [ 24.694099 -19.348 753.591003 ] [ 23.3708 -19.3689 753.992981 ]
[ 26.0273   -3.98625 754.879  ] , [ 26.0548 -3.63603 757.226013 ] [ 26.2208 -4.55669 754.171021 ] [ 26.188801 -3.25373 755.062988 ]
[2.53173e+01 4.17033e-01 7.56743e+02] , [ 25.5525 0.479739 759.200012 ] [ 25.730499 -0.690652 757.721985 ] [ 25.327499 0.582649 756.434021 ]
[-2.28271e+01  5.72375e-01  7.53624e+02] , [ -22.2122 0.709407 752.565002 ] [ -23.2062 0.309947 753.771973 ] [ -23.485901 2.39197 754.577026 ]
[ 23.9436    3.98996 754.445  ] , [ 23.877199 3.86102 754.61499 ] [ 23.3876 3.06617 752.999023 ] [ 24.282801 4.73115 754.046997 ]
[ 24.9534   7.9204 754.953 ] , [ 25.1213 8.20741 757.328003 ] [ 24.945 7.73575 754.90802 ] [ 24.875 8.8423 755.023987 ]
[-23.3783  11.4465 752.97  ] , [ -23.849001 10.4458 751.992981 ] [ -23.194599 11.5871 753.588989 ] [ -23.079901 11.3952 751.664978 ]
[-25.1275    9.26202 756.028  ] , [ -24.538401 10.0505 755.789978 ] [ -24.9879 9.12594 755.294006 ] [ -25.146 9.42851 757.692993 ]
[ 13.314   18.8293 757.472 ] , [ 13.5863 17.999701 757.47998 ] [ 13.0616 18.901899 756.638 ] [ 13.6854 18.9058 757.228027 ]
[-14.9625  24.0407 754.085 ] , [ -12.781 24.0546 754.700012 ] [ -15.037 24.797899 754.106018 ] [ -15.1496 23.8209 753.802979 ]
[-11.8492  20.9891 754.743 ] , [ -11.8448 21.313999 755.176025 ] [ -12.4081 20.011101 753.666016 ] [ -12.0484 20.274401 754.520996 ]
[  8.61389  51.542   753.817  ] , [ 9.48013 52.598 753.434998 ] [ 7.26203 49.989101 753.643982 ] [ 8.22133 50.7514 754.515015 ]
[ 26.1592  56.6042 755.647 ] , [ 26.7799 57.257999 756.103027 ] [ 25.758301 56.212898 755.663025 ] [ 26.080299 56.9841 755.377991 ]
[ 28.9774  58.7889 755.389 ] , [ 28.9116 58.651402 755.070007 ] [ 29.2061 59.409599 756.232971 ] [ 28.794001 58.314499 756.007019 ]
[-25.6011  66.0981 754.674 ] , [ -25.8416 66.329399 754.340027 ] [ -25.76 65.926003 756.260986 ] [ -24.736799 65.603104 755.091003 ]
[-29.2673  67.4402 757.222 ] , [ -29.5744 67.3004 757.926025 ] [ -28.786301 67.100998 757.52301 ] [ -29.7356 68.040604 756.265991 ]
[-39.9908  69.5735 757.768 ] , [ -40.3382 68.606499 758.710999 ] [ -40.113201 70.2547 758.491028 ] [ -40.7621 70.333298 757.406982 ]
[-40.6223  67.0816 756.938 ] , [ -40.4389 67.728996 757.64502 ] [ -40.361801 67.345299 756.226013 ] [ -39.417999 66.317299 756.791992 ]
[ 34.8167  71.8509 752.398 ] , [ 35.614498 71.263802 753.25 ] [ 34.352901 71.9646 751.377991 ] [ 34.178699 71.389 752.893982 ]
[-13.2439 -63.7883 755.964 ] , [ -10.3044 -63.630501 755.934998 ] [ -16.8946 -62.865002 757.255005 ] [ -14.6565 -64.436897 754.864014 ]
[-19.0899 -61.991  756.994 ] , [ -19.005301 -61.2411 759.762024 ] [ -19.155701 -62.795799 757.390991 ] [ -16.8946 -62.865002 757.255005 ]
[ 23.0248 -40.4229 752.615 ] , [ 22.1544 -40.363098 752.450989 ] [ 23.135401 -39.530998 752.689026 ] [ 23.141701 -40.593601 752.122009 ]
[ 19.1688 -27.3305 753.956 ] , [ 19.440201 -29.915899 753.221985 ] [ 19.4415 -27.564301 754.403992 ] [ 18.812901 -25.945299 755.086975 ]
[-30.5185 -19.74   752.725 ] , [ -30.5331 -19.555201 752.13501 ] [ -31.306101 -21.036699 752.409973 ] [ -31.3503 -18.8631 752.54303 ]
[-31.3658 -14.8337 754.046 ] , [ -30.3002 -14.9516 754.213013 ] [ -32.290401 -16.444099 754.655029 ] [ -30.4471 -13.99 755.228027 ]
[-15.9986  14.2077 753.695 ] , [ -15.7335 14.0747 754.278992 ] [ -16.1117 14.3538 752.551025 ] [ -17.4153 14.0809 752.552002 ]
[-18.6571  13.6541 752.011 ] , [ -18.6168 13.7585 752.921021 ] [ -18.562 13.8056 751.643005 ] [ -21.0707 12.8542 751.361023 ]
[ 16.9996  15.5947 753.429 ] , [ 17.285101 15.5221 753.585022 ] [ 16.167601 16.277599 750.687988 ] [ 15.9778 15.6071 754.518005 ]
[ 14.5217  25.3651 754.26  ] , [ 14.4811 24.4146 754.536011 ] [ 14.9129 25.5173 754.187988 ] [ 13.2716 24.9452 755.171997 ]
[-15.531   30.5125 753.728 ] , [ -14.8319 30.791201 753.895996 ] [ -15.6917 31.3911 753.14502 ] [ -15.0548 29.6206 754.008972 ]
[ 16.089   32.2215 758.152 ] , [ 16.8239 31.740299 760.047974 ] [ 15.5239 31.8011 757.807007 ] [ 15.9234 32.305901 757.469971 ]
[ 15.1022  32.7207 754.473 ] , [ 16.083401 32.757401 756.942993 ] [ 14.6881 32.7285 753.880981 ] [ 14.9015 33.257999 754.190002 ]
[  2.36745  38.5987  754.738  ] , [ 2.62772 38.2029 754.622986 ] [ 3.51954 40.854301 754.893982 ] [ 2.49155 39.761398 753.455994 ]
[  2.62161  34.8449  757.136  ] , [ 2.86264 34.8936 756.716003 ] [ 3.68775 33.8396 758.447021 ] [ 4.17078 34.964001 759.302002 ]
[ 26.049  67.791 753.714] , [ 25.1581 67.399696 753.463013 ] [ 26.339399 67.768501 754.348999 ] [ 26.510401 68.061401 753.119995 ]
[-30.5547  69.5798 754.709 ] , [ -30.2754 68.792503 755.275024 ] [ -31.061001 69.781502 753.737976 ] [ -31.132 69.364098 755.239014 ]
[  0.985765 -64.7696   754.793   ] , [ 0.875634 -65.961403 752.921021 ] [ 2.8208 -65.153297 754.122009 ] [ 0.131875 -64.237503 755.528992 ]
[-17.0097 -63.7112 753.183 ] , [ -16.944401 -64.070602 751.731995 ] [ -17.2796 -64.101402 753.119995 ] [ -17.5166 -63.7033 751.896973 ]
[ 26.6298 -62.5223 757.794 ] , [ 26.9779 -62.7145 757.515015 ] [ 29.0599 -61.029499 760.034973 ] [ 24.552 -61.719002 758.966003 ]
[ 35.7406 -55.7785 752.838 ] , [ 35.768398 -55.697201 752.231995 ] [ 36.084801 -56.188801 753.955994 ] [ 35.635201 -55.966099 753.26001 ]
[-18.9207 -43.9398 754.053 ] , [ -18.932501 -42.894299 754.291016 ] [ -18.5161 -44.132 754.697998 ] [ -19.193399 -43.875099 754.377991 ]
[ 21.0859 -38.2984 751.653 ] , [ 19.8855 -39.2019 752.916992 ] [ 20.709101 -39.3605 753.450989 ] [ 20.495501 -39.8839 751.911011 ]
[ 20.9459 -23.0607 753.216 ] , [ 20.701799 -23.138901 754.026978 ] [ 21.0452 -24.18 752.844971 ] [ 21.4258 -22.2789 753.552979 ]
[-33.478  -18.7328 754.619 ] , [ -33.243 -19.419901 754.663025 ] [ -33.595001 -19.3762 755.263 ] [ -32.962502 -17.3666 754.984985 ]
[ 35.6447 -22.7333 756.647 ] , [ 36.670502 -23.0944 756.690979 ] [ 36.424702 -22.7985 755.460999 ] [ 36.9715 -21.7346 756.872009 ]
[ 26.8524 -16.1039 753.086 ] , [ 26.99 -14.4258 753.369019 ] [ 28.2407 -15.2296 752.414978 ] [ 26.253 -16.7104 753.250977 ]
[ 14.1201  14.8099 753.415 ] , [ 13.4082 16.0714 753.796021 ] [ 14.2589 15.5806 754.994995 ] [ 15.0978 16.0452 753.632019 ]
[ 14.1696  21.9463 754.079 ] , [ 13.8941 20.8657 753.611023 ] [ 15.0348 22.498501 753.729004 ] [ 14.0829 22.2624 754.221985 ]
[ 15.1156  36.5913 754.313 ] , [ 15.643 36.638401 754.14801 ] [ 14.8005 35.515598 754.109009 ] [ 15.5723 37.355999 753.507996 ]
[ 17.4456  39.7155 754.3   ] , [ 17.690399 40.386902 754.510986 ] [ 17.6677 38.834202 754.66803 ] [ 16.6229 39.3736 753.869019 ]
[-17.2409  43.4827 751.917 ] , [ -16.3529 43.5411 752.143982 ] [ -17.942801 44.3461 753.171997 ] [ -17.0399 44.144901 752.377014 ]
[ 19.9694  47.1954 755.232 ] , [ 21.0511 47.2397 755.132996 ] [ 20.224501 46.122101 754.843018 ] [ 19.885401 47.666401 754.655029 ]
[  5.58221  47.8358  754.436  ] , [ 5.30115 48.138901 755.197021 ] [ 5.41785 48.097801 753.189026 ] [ 4.47076 47.435501 753.968018 ]
[  6.39122  49.5615  751.979  ] , [ 6.89159 50.457001 751.492981 ] [ 6.31045 49.456501 752.007996 ] [ 7.26203 49.989101 753.643982 ]
[ 31.9499  60.5861 754.951 ] , [ 32.056099 61.091999 754.921997 ] [ 30.508301 60.653 755.539978 ] [ 30.581699 60.4067 754.341003 ]
[ 33.4335  63.3927 753.025 ] , [ 33.329601 63.448101 753.78302 ] [ 32.8064 63.6036 751.794006 ] [ 33.595501 63.690498 752.700012 ]
[ 18.2837  61.7925 753.716 ] , [ 19.7155 63.266998 753.530029 ] [ 17.9028 61.505901 753.617004 ] [ 19.370701 61.813301 755.163025 ]
[-39.1135  65.8653 753.696 ] , [ -37.8316 65.532204 753.478027 ] [ -39.601101 65.741501 754.036011 ] [ -39.231499 66.1493 753.11499 ]
[ 17.3529 -62.8696 757.079 ] , [ 18.281799 -64.6894 754.424988 ] [ 19.59 -62.367199 757.885986 ] [ 15.0839 -62.547001 757.479004 ]
[ 23.0858 -64.1631 755.81  ] , [ 23.0312 -64.579399 754.721985 ] [ 24.4091 -63.484798 756.359009 ] [ 21.5483 -63.895 755.669983 ]
[ 21.0565 -61.6646 758.947 ] , [ 19.59 -62.367199 757.885986 ] [ 24.4091 -63.484798 756.359009 ] [ 20.5851 -61.117802 759.723999 ]
[-11.2211 -34.3846 755.443 ] , [ -8.23891 -35.593601 758.161011 ] [ -13.1796 -32.635502 754.208008 ] [ -12.0467 -37.756802 753.187012 ]
[ 22.491  -18.5484 752.706 ] , [ 22.8251 -18.724899 753.232971 ] [ 22.633699 -19.527399 752.211975 ] [ 22.991699 -17.0802 752.280029 ]
[ 27.8783 -20.8874 752.411 ] , [ 27.145901 -21.4471 753.080994 ] [ 27.703899 -20.4491 752.320984 ] [ 29.132401 -21.824699 751.969971 ]
[ 23.8411 -13.9799 754.014 ] , [ 23.5091 -13.9594 754.463989 ] [ 23.412901 -14.5858 753.528015 ] [ 23.8666 -12.9263 753.671997 ]
[ 20.5576  14.8258 752.829 ] , [ 19.5527 15.368 751.469971 ] [ 18.9571 15.2976 753.361023 ] [ 20.663799 14.7847 752.835999 ]
[ 13.1753  19.6048 752.261 ] , [ 13.4953 19.393101 752.234985 ] [ 13.0 19.4289 752.232971 ] [ 13.8693 19.7728 751.606995 ]
[-14.5296  21.2972 751.237 ] , [ -15.0729 20.857901 752.104004 ] [ -15.6241 21.4816 751.296021 ] [ -14.9813 19.0203 750.078979 ]
[-12.1448  18.4878 752.289 ] , [ -12.0812 16.9377 751.015991 ] [ -11.9997 17.106001 752.075012 ] [ -12.5016 18.8547 752.76001 ]
[ 14.5076  28.9747 754.174 ] , [ 15.5336 29.0455 753.312988 ] [ 14.7151 29.812599 753.633972 ] [ 13.7067 28.842199 754.52002 ]
[ 18.7513  43.4653 754.77  ] , [ 17.7237 42.9757 752.942993 ] [ 18.1159 43.561501 753.383972 ] [ 19.349001 43.484402 755.190979 ]
[ 21.9384  50.9198 755.309 ] , [ 23.1861 51.405701 757.072021 ] [ 21.5098 50.9189 755.166016 ] [ 22.842899 51.927898 755.872986 ]
[-11.7511  52.6391 751.646 ] , [ -11.0965 51.500702 751.895996 ] [ -12.425 53.793999 751.039978 ] [ -12.6098 53.691601 751.963013 ]
[ 35.2059  66.7907 750.837 ] , [ 36.229698 68.156898 750.664001 ] [ 34.858398 66.459503 751.351013 ] [ 35.1861 66.898697 750.392029 ]
[ 37.4901  69.0415 751.326 ] , [ 36.603401 68.359802 751.289978 ] [ 37.339001 69.307899 751.20697 ] [ 37.7836 69.080399 752.517029 ]
[ -2.37936 -65.6238  753.313  ] , [ -1.6198 -66.340302 752.435974 ] [ -1.81637 -65.416199 753.781982 ] [ -4.2005 -65.507401 753.656006 ]
[ 29.7662 -45.3078 750.706 ] , [ 27.562599 -47.5709 751.73999 ] [ 30.0952 -46.0284 750.099976 ] [ 29.2838 -44.7318 749.275024 ]
[ 26.3357 -41.1313 753.056 ] , [ 27.064899 -41.412399 752.859985 ] [ 26.0186 -41.823898 752.312012 ] [ 26.8876 -40.944599 752.502991 ]
[-19.462  -19.1382 753.281 ] , [ -19.7999 -18.7327 751.929993 ] [ -19.209499 -19.356199 753.297974 ] [ -19.415001 -18.9604 753.341003 ]
[ 23.7143  12.5223 752.07  ] , [ 23.3111 13.0332 752.258972 ] [ 23.9298 11.9771 753.349976 ] [ 23.9949 11.6919 751.729004 ]
[-16.3846  27.4402 751.797 ] , [ -17.0849 26.868099 751.758972 ] [ -16.267599 27.719101 753.007019 ] [ -17.2118 28.566999 752.005005 ]
[  2.09544  34.1227  755.14   ] , [ 2.621 35.733501 756.872986 ] [ 1.13988 35.562698 754.73999 ] [ 2.09599 33.976299 755.142029 ]
[-13.6587  36.9096 752.013 ] , [ -13.3078 36.1054 751.713013 ] [ -14.0723 36.9398 752.588989 ] [ -13.3172 37.242001 751.68103 ]
[ -8.56746  47.7647  752.711  ] , [ -8.66919 47.833 751.859985 ] [ -9.45458 49.158501 753.65802 ] [ -7.93123 47.118698 753.013 ]
[-29.8366  59.3832 750.705 ] , [ -29.795799 60.277699 750.604004 ] [ -29.1082 58.9077 750.39801 ] [ -29.8381 59.308498 751.309998 ]
[ 14.7965  60.1509 752.069 ] , [ 14.4245 58.780602 752.041992 ] [ 15.6559 58.645802 753.643982 ] [ 15.3378 60.2323 751.752014 ]
[-35.2308  62.375  750.825 ] , [ -34.473801 62.657101 751.718018 ] [ -34.990398 63.185299 750.778015 ] [ -34.373402 62.826801 750.205994 ]
[-23.7961 -55.4068 750.549 ] , [ -23.3141 -54.3633 751.070007 ] [ -23.697001 -55.816898 750.218018 ] [ -23.934799 -55.6255 751.619995 ]
[-22.1018 -51.4252 751.659 ] , [ -22.5611 -52.748199 751.530029 ] [ -22.457899 -51.9702 752.656006 ] [ -21.4881 -51.303799 751.76001 ]
[ -0.887327 -32.8893   753.14    ] , [ -1.31474 -34.6437 752.729004 ] [ -0.748811 -34.175701 753.544983 ] [ -1.29267 -33.3643 754.109985 ]
[ 2.48717e-01 -3.27446e+01  7.50871e+02] , [ 0.792966 -31.560801 752.687988 ] [ -0.184908 -30.498199 752.062012 ] [ 0.780367 -30.649599 752.023987 ]
[ -3.01574 -33.1263  750.808  ] , [ -1.96423 -34.419899 751.497009 ] [ -2.96128 -32.6922 750.695984 ] [ -3.04369 -32.913799 752.603027 ]
[-31.7293 -18.0209 752.905 ] , [ -32.304199 -17.691099 753.856018 ] [ -31.613199 -16.551701 753.859009 ] [ -31.3503 -18.8631 752.54303 ]
[ 34.6352 -12.5641 756.103 ] , [ 33.9436 -11.9314 756.275024 ] [ 34.989799 -13.09 757.29303 ] [ 34.009602 -12.5103 755.271973 ]
[ 31.2175 -12.9788 753.473 ] , [ 31.630199 -11.6522 753.338989 ] [ 31.688801 -12.8838 752.325989 ] [ 30.9879 -12.2982 752.700989 ]
[-22.0307   -2.99423 751.333  ] , [ -22.247601 -2.39303 751.421021 ] [ -21.680901 -4.17691 749.875 ] [ -22.851999 -4.69674 750.059021 ]
[-24.5018   -5.71156 753.368  ] , [ -24.564699 -6.69336 753.440002 ] [ -24.784901 -4.10322 755.190979 ] [ -24.559601 -5.53322 752.650024 ]
[ 2.19795e+01 -3.08580e-01  7.50722e+02] , [ 23.093399 -1.71352 750.848022 ] [ 21.583599 -0.967577 750.95697 ] [ 22.2204 -0.34072 751.83197 ]
[ 23.0832    3.85156 751.293  ] , [ 23.962299 4.49002 752.809021 ] [ 23.1532 3.05239 751.796021 ] [ 22.6395 3.67224 749.901978 ]
[-24.8775    6.30019 753.07   ] , [ -25.4126 6.95166 754.416016 ] [ -24.854401 7.25482 753.231995 ] [ -24.653601 5.5046 752.664978 ]
[-13.2193  17.6243 749.778 ] , [ -13.7665 17.9424 749.211975 ] [ -13.1723 17.412701 749.765015 ] [ -13.9631 17.9037 749.947021 ]
